Review_Date,Author,Rating,Review_Title,Review,Review_Url
18,9 February 2012,zetes,6, Clichéd sports movie with some good points,"A very cliché sports story, with so many corny moments that you'll have seen in six dozen other films that it becomes ludicrous long before its end. Yet, in some ways, it's pretty well done, and it nearly overcomes those clichés. Joel Edgerton and Tom Hardy play two brothers who parted ways way back when they were teenagers. Hardy went away with his mother and later joined the Marines after she passed away. Now he has returned to his father (Nick Nolte), a former drunk who drove his family apart. Edgerton didn't like his father much, either, but chose not to go with his brother and mother because he was in love with the woman he would eventually marry (Jennifer Morrison). Both brothers are skilled fighters and have their eyes set on the big prize in a mixed martial arts tournament. The film somewhat succeeds because it's very low-key. Most of the time, it's hard to notice how melodramatic and predictable the story is. The performances help, too (Joel Edgerton was my favorite of the three big characters). After a while, though, we get stuff like a wife who refuses to watch the fight impatiently pacing behind her cell phone, on a table in the foreground, waiting for a call to tell her her husband has won a match. And Hardy's story is beyond ridiculous - he gets invited to the tournament after beating up a trained MMA champion in a local gym - never mind that Hardy, at best, was just a trained wrestler many years ago in high school. Being in the Marines does not give you superpowers. That's just the start of the ridiculousness that ends up, obviously, with the two brothers fighting in the ring (with Edgerton's wife, at this point, of course watching from ringside). I should probably call Gavin O'Connor one of the best directors of the year, because, as over-the-top as all this stuff is (and, believe me, I barely scratched the surface - the movie runs for 2 hours and 20 minutes), it generally doesn't feel that way. If one doesn't look too closely at it, I could imagine it seeming great. But it's not.",?
19,25 October 2020,filmreviewer123,10, 10/10 I can't get over how good this film was.,"I absolutely loved this film, defo one to watch. So much emotion and tension, there wasn't one weak moment of this film. I can't wait to watch it again.",r
20,1 September 2011,cervantese,10, Loved IT!,"I had the pleasure of watching this movie last night. I went since its a ""guy"" movie my husband was the one excited about it more than I was. I must say I was more than impressed with the leading men in this film. It has been a long time since a movie has had me on the edge of my seat, biting my nails as this movie did during the fighting scenes. If you are looking for great acting, family drama, awesome fighting scenes than this is the movie for you. After we left the theater we couldn't stop talking about it. I will definitely go see it again when it comes out. We really enjoyed it! Nick Nolte was amazing, and even my husband I think cried in a few scenes, (last time that happened was during Marley and Me) so I must say this movie is a MUST SEE!",e
21,29 August 2020,pgregory_photo,10, What a movie ignore the title it's deceiving and the fact it has MMA in this movie is so much more,"I remember when this movie came out and I didn't bother with it as it sounded like a action MMA testeroned filled hour plus I didn't want to waste. If that's your kind of movie you won't like this, but if you like films like Rocky, the fighter, films that martial arts are apart of the main theme. You will love this.",f
22,27 March 2020,andrewchristianjr,10, MORE THAN ACTION AND FIGHTING.,To this day this is one of my favorite movies. It's not because of the action and fighting. It is so much more than that. It is one of the few movies I have seen that take you on a complete emotional rollercoaster. Yes Testosterone filled but also touching and family based.,_
23,4 September 2011,kell-bailey,10, A great film,Just saw a sneak peek of Warrior. All I can saw is WOW! Great film. Great performances. The characters are deep and believable and the story will probably have you leaving the theater in tears.,=
24,1 May 2011,wildaboutmovies,9, Best Fighting Movie Since Rocky,"I had the pleasure of seeing Warrior at 2011 CinemaCon, walking in not knowing a thing about the movie, other than it was a movie about 'fighting.' And though a MMA movie (Mixed Martial Arts), not boxing, per se, for the genre, fighting, Warrior delivers a much better story than The Fighter, and is on par with Clint Eastwood's Oscar winner, Million Dollar Baby.",t
25,27 August 2011,FloppyMeatball,9, Not just for fight fans...,My girlfriend took me to an advance screening of Warrior because I'm an MMA enthusiast. She told me she did not expect much. She ended up leaving the theater in tears.,t
26,8 November 2020,doomedmac,7, Good,"This is a good movie, but it's a far cry from great. The script and plot are unimpressive.",_
27,10 September 2015,temrok9,7, Angry,"It is not that Warrior is not a good film;in fact, from a point on it grabs you in continuous commitment with your heart pumping fast and helplessly.The truth is that at the start it looks like it wants to be something more than another fighting movie, with the roles of Nolte and Hardy, and the reading of Mobby Dick, some kind of elegy.And it could succeed at it, as the Hardy character-in one of Hardy's best performances-is built masterfully;yet, the other characters of the film gradually become banal, and whats worst-please do not read further if you have not seen the movie-at the end there is the most conservative choice one could imagine, as the winner is the family man who fights in order to pay for the home of his family, whereas the heroic-and anti heroic-veteran, looses everything.One could argue that the end is about reconciliation and the return to the unity of the family;in my opinion, it is a total fiasco that let me down and made me really angry. There should be some other way to discourage violence without letting down the most interesting character of the movie.His defeat is the failure of the film to be anything more than a family fighting movie to watch at home.Yet, for Hardy alone, I would very much like to watch it again.",u
28,21 May 2020,h-28658,8, One of the most underrated film out there.,As one brothers fights for his family the other fights for his country. Another great underdog story.,r
29,30 August 2017,conmech,9, Don't Watch The Trailer - And Don't Read the Plot on IMDb,"I get that companies have to show some cool stuff to attract the audience. But the trailer gives some key plot elements (as does the ""PLOT"" section on IMDb), as well as some MAJOR SPOILERS. For the first time, we have a movie, where there are 2 protagonists and 2 antagonists, which means the final fight, and the winner is not determined, and could be anyone. The only problem is, they show A LOT on the trailer, that you pretty much know how the end will be. Just watch it without the trailer, IMO finally we have a more evolved version of Rocky here.",v
30,11 November 2011,DICK STEEL,10, A Nutshell Review: Warrior,"Enough of Boxing films already. Warrior brings us to the world of Mixed Martial Arts, which has been around for years, but never really making it to a notable big screen interpretation save for the Hong Kong film Flashpoint starring Donnie Yen taking down a string of bandits led by Collin Chou in the film's climatic finale. Perhaps its more contemporary slant meant a little less understanding of the art to effectively bring it to the cinemas, but Gavin O'Connor's film will open doors for MMA to work, and work well.",
31,17 November 2019,marmar-69780,8, warrior,Great and inspairing story of relationship between brothers and their forgivness towards their father mixed with good mma story and emotional ending,
32,3 February 2012,evanston_dad,8, I Was Totally Sucker Punched,"The only thing ""Warrior"" could have added to make its shamelessly manipulative screenplay even more emotionally manipulative would have been a three-legged dog dying of cancer. This movie makes ""Rocky"" look as austere as an Ingmar Bergman film.",
33,2 April 2022,stimpy_tr,4, What a waste of time!,"Every single scene of this film is overloaded with sentimentality. The characters are unrealistic and unrelatable. I didn't feel for any of them. Storytelling is so weird. People speak in a whispering voice to augment the mawkishness. All that family drama overwhelms the whole film. That drama is strangely mixed with an MMA tournament. I didn't get any direct or subtle messages from the film. I think it reflects personal issues of the director. For me, it was a waste of time.",
34,8 January 2021,zach-68987,10," Epic tale of family disintegration, loss and connection","The backdrop of UFC provides a perfect expression of the the rage and chaos existing between an violent and abusive father and his now two grown up sons. I found this a masterful and compelling film that I have been drawn back to watch many times. I captures an inspiring tale of men in enormous pain trying to confront and recover from family violence and abuse. The momentum of the characters and the ability of the writers, director and actors to portray the journey of barely restrained rage, rejection, and reconciliation carries the story with powerful momentum. Tom Hardy's depiction of Tommy is truely inspired - his rage seems to be unstoppable - the flashes to his real vulnerability are managed so well. Nick Nolte also delivers a career highlight as the reformed abusive father who cannot change the past. He is trapped in a small world devoid of any real connection trying to confront his past listening to endless loops of Captain Ahab who destroyed everything in his arrogant pursuit of the great White Whale. Joel Edgerton too delivers an exceptional portrayal of the brother who has tried to forget and live a normal life only to find he has unfinished business that must be addressed. He has a younger brother who needs him and cannot forgiveness him for abandoning him all those years ago. What a movie! One of my favourites of all time. Thank you for making this film. It tells my story (minus the UFC)",
